date,equity
2026-01-01,100000.0
2026-01-02,100000.0
2026-01-05,100000.0
2026-01-06,100000.0
2026-01-07,100000.0
2026-01-08,100000.0
2026-01-09,100000.0
2026-01-12,100000.0
2026-01-13,100000.0
2026-01-14,100000.0
2026-01-16,100000.0
2026-01-19,100000.0
2026-01-20,100000.0
2026-01-21,100000.0
2026-01-22,100000.0
2026-01-23,100000.0
2026-01-27,100000.0
2026-01-28,100000.0
2026-01-29,100000.0
2026-01-30,100000.0
2026-02-01,100000.0
2026-02-02,100000.0
2026-02-03,100000.0
2026-02-04,100188.31952517826
2026-02-05,99670.58658908446
2026-02-06,99868.42897982903
2026-02-09,100543.19202566898
2026-02-10,100806.91709859665
2026-02-11,100879.60182761282
2026-02-12,100309.59030300204
2026-02-13,99003.20862266325
2026-02-16,99825.86760107357
2026-02-17,99991.6431996051
2026-02-18,100356.81594244302
2026-02-19,98938.10331726106
2026-02-20,99392.48004570976
2026-02-23,99943.44583918796
2026-02-24,98822.66286529422
2026-02-25,99047.51909917578
2026-02-26,99102.12981803554
2026-02-27,97866.48942476063
2026-03-02,96650.08910681352
2026-03-04,95152.86142675848
2026-03-05,96262.17809313364
2026-03-06,95036.06056542501
2026-03-09,93394.24080411854
2026-03-10,94302.02254003976
2026-03-11,92767.67511869571
2026-03-12,91882.63165361647
2026-03-13,89985.63796397248
2026-03-16,90987.28794618999
2026-03-17,91657.19238714919
2026-03-18,92421.54810699036
2026-03-19,89406.6866063811
2026-03-20,89843.37801306382
2026-03-23,87504.05693507544
2026-03-24,89057.83877594252
2026-03-25,90589.46537855334
2026-03-27,88697.13594959489
2026-03-30,86799.55922736523
2026-04-01,88152.19482616884
2026-04-02,88283.18281375413
2026-04-06,89274.92124201488
2026-04-07,89878.94300079098
2026-04-08,93274.91346824708
2026-04-09,92411.05352044792
2026-04-10,93481.89003616745
2026-04-13,92673.6125282042
2026-04-15,94184.24995773014
2026-04-16,94049.95811882593
2026-04-17,94659.42151506848
2026-04-20,94703.34330319054
2026-04-21,95526.3909699913
2026-04-22,94754.8445149266
2026-04-23,93957.83897028671
2026-04-24,92888.55720812903
2026-04-27,93645.52784855146
2026-04-28,93268.50010980447
2026-04-29,93975.71863624793
2026-04-30,93275.690845028
2026-05-04,93748.91896041403
2026-05-05,93412.70350266543
2026-05-06,94571.57793882434
2026-05-07,94554.86433803453
2026-05-08,93969.888310391
2026-05-11,92569.44403956071
2026-05-12,90873.5965919802
2026-05-13,91002.05810502749
2026-05-14,92078.72494660394
2026-05-15,91899.5395986015
2026-05-18,91924.60999978623
2026-05-19,91800.42405903399
2026-05-20,91959.78629912293
2026-05-21,91943.07269833311
2026-05-22,92194.1653985708
2026-05-25,93408.42793037037
2026-05-26,92949.77562962662
2026-05-27,92924.31654005143
2026-05-29,91527.37046473527
2026-06-01,90885.45158788924
2026-06-02,91277.83251805944
2026-06-03,90974.84991769523
2026-06-04,91017.4112964507
2026-06-05,90823.65013380599
2026-06-08,89876.41652625299
2026-06-09,90339.3443992918
2026-06-10,90233.8155012817
2026-06-11,90026.45024497085
2026-06-12,91819.46979016658
2026-06-15,92717.33997213106
2026-06-16,93243.0410202293
2026-06-17,93618.3196612192
2026-06-18,93938.21020656844
2026-06-19,93336.13188974465
2026-06-22,93685.17406437847
2026-06-23,92601.51083177372
2026-06-24,93369.36474712906
2026-06-25,93502.87920925234
2026-06-29,93076.29370072161
2026-06-30,92763.39954640064
2026-07-01,93307.95198143624
2026-07-02,93968.13921263393
2026-07-03,94337.97621615739
2026-07-06,94957.93419894237
2026-07-07,94834.91432336153
2026-07-08,92826.75575404576
2026-07-09,93140.62162934286
2026-07-10,94089.4099904577
